Date,Campaign,Platform,Spend,Impressions,Clicks,Installs,Device,City,Placement,CTR,CPC,CPI,ROAS,Objective
2025-03-01,Meta - Brand Awareness - Tier1,Meta,25000,1500000,37500,3750,Android,Mumbai,Feed,2.5,0.67,6.67,1.85,Installs
2025-03-01,Google UAC - Installs,Google,18000,900000,22500,4500,Android,Delhi,Search,2.5,0.8,4.0,2.1,Installs
2025-03-01,DV360 - Reach - Premium,DV360,30000,2000000,20000,1000,iOS,Bangalore,Display,1.0,1.5,30.0,0.9,Reach
2025-03-01,Programmatic - Retarget,Programmatic,15000,800000,12000,800,Android,Hyderabad,Native,1.5,1.25,18.75,1.2,Installs
2025-03-02,Meta - Brand Awareness - Tier1,Meta,27000,1600000,40000,4000,Android,Mumbai,Feed,2.5,0.68,6.75,1.9,Installs
2025-03-02,Google UAC - Installs,Google,20000,1000000,25000,5000,iOS,Delhi,Search,2.5,0.8,4.0,2.2,Installs
2025-03-02,DV360 - Reach - Premium,DV360,28000,1900000,19000,950,iOS,Pune,Display,1.0,1.47,29.47,0.85,Reach
2025-03-02,Programmatic - Retarget,Programmatic,16000,850000,13000,900,Android,Chennai,Native,1.53,1.23,17.78,1.3,Installs
2025-03-03,Meta - Brand Awareness - Tier1,Meta,24000,1450000,36000,3600,iOS,Kolkata,Stories,2.48,0.67,6.67,1.8,Installs
2025-03-03,Google UAC - Installs,Google,22000,1100000,28000,5600,Android,Bangalore,Search,2.55,0.79,3.93,2.3,Installs
2025-03-03,DV360 - Reach - Premium,DV360,25000,1800000,18000,900,Android,Mumbai,Display,1.0,1.39,27.78,0.88,Reach
2025-03-03,Meta - Retargeting - Conversions,Meta,12000,600000,15000,2000,iOS,Delhi,Reels,2.5,0.8,6.0,2.5,Conversions
2025-03-04,Meta - Brand Awareness - Tier1,Meta,26000,1550000,38750,3875,Android,Mumbai,Feed,2.5,0.67,6.71,1.82,Installs
2025-03-04,Google UAC - Installs,Google,19000,950000,23750,4750,iOS,Hyderabad,Search,2.5,0.8,4.0,2.15,Installs
2025-03-04,Programmatic - Retarget,Programmatic,17000,900000,14000,1000,Android,Pune,Native,1.56,1.21,17.0,1.35,Installs
2025-03-05,Meta - Brand Awareness - Tier1,Meta,28000,1700000,42500,4250,Android,Chennai,Feed,2.5,0.66,6.59,1.92,Installs
2025-03-05,Google UAC - Installs,Google,21000,1050000,26250,5250,Android,Delhi,Search,2.5,0.8,4.0,2.25,Installs
2025-03-05,DV360 - Reach - Premium,DV360,32000,2100000,21000,1050,iOS,Bangalore,Display,1.0,1.52,30.48,0.82,Reach
2025-03-05,Meta - Retargeting - Conversions,Meta,14000,700000,17500,2500,iOS,Mumbai,Reels,2.5,0.8,5.6,2.6,Conversions
2025-03-05,Programmatic - Retarget,Programmatic,18000,950000,15000,1100,Android,Kolkata,Native,1.58,1.2,16.36,1.4,Installs
2025-03-06,Meta - Brand Awareness - Tier1,Meta,23000,1400000,35000,3500,Android,Mumbai,Stories,2.5,0.66,6.57,1.78,Installs
2025-03-06,Google UAC - Installs,Google,17000,850000,21250,4250,iOS,Delhi,Search,2.5,0.8,4.0,2.05,Installs
2025-03-06,DV360 - Reach - Premium,DV360,27000,1850000,18500,925,Android,Pune,Video,1.0,1.46,29.19,0.87,Reach
2025-03-07,Meta - Brand Awareness - Tier1,Meta,29000,1750000,43750,4375,iOS,Bangalore,Feed,2.5,0.66,6.63,1.95,Installs
